[ERROR] 2017-10-07 13:50:02,040 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,041 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,041 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,041 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,042 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,042 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,042 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,043 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,044 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,044 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,045 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,045 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,046 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,046 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,047 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,047 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,047 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,048 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,048 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,048 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,048 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,049 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,049 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,050 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,050 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,050 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,051 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,051 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,051 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,052 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,052 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,052 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,053 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,053 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,053 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,054 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,054 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,054 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,054 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,054 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,055 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,055 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,055 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,056 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,056 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,056 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,056 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,056 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,057 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,057 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,057 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
